Gene	FC	Length
Hist2h2bb	19.643797	9280
Ctse	15.668545	37197
Sdpr	12.595064	13833
Trim17	11.992077	18413
Hist1h2bf	11.949931	460
Hist1h4i	9.567099	536
Akap13	8.889165	299075
Hexim1	8.495214	3400
Hist1h3b	8.4324875	619
AA986860	7.7936563	12645
Hist1h3a	7.627218	533
Depdc7	7.4878845	21094
Hist1h4a	6.904154	538
Slc9a3r1	6.8824277	17840
Tnfrsf12a	6.8668733	2002
Il6	6.6472573	6807
Gramd1c	6.519728	47590
Fasl	6.459694	7806
Strbp	6.3576946	220631
Bbx	6.332377	240546
Atad2	6.239863	41035
Hao1	6.1450005	57007
Abtb2	6.0356045	152113
Sertad1	6.019184	3406
Gas2l3	5.91782	35144
Gadd45b	5.643131	2113
Hist1h3i	5.5927052	482
Unc5b	5.3028507	68971
Hist1h3f	4.9087067	1003
Dnm3	4.90174	495581
Colec11	4.89248	29117
Onecut2	4.8817773	58122
Bcl2l11	4.8811812	36509
Peg10	4.7766843	13211
Vps13a	4.7716436	164164
Mlf1	4.7689185	25906
Nptx2	4.639456	11591
Tekt2	4.613973	3567
Ccbl2	4.543656	43859
Nptx1	4.454399	9034
Kif23	4.4530206	29519
Hist2h2aa2	4.3715115	577
Mpp4	4.3660083	42453
Ube2t	4.3361697	11597
Sp4	4.3208838	66507
Nkd1	4.2588177	73543
4932442L08Rik	4.223641	11724
Gch1	4.209866	35518
Chchd7	4.178186	12158
Tcf19	4.151855	4090
Fgfr1	4.147473	62060
5031425E22Rik	4.1342688	2109
Luzp1	4.1050053	85019
Nrf1	4.077447	105470
Grk5	4.0383763	202804
Foxo1	4.0139713	81772
Pou2f2	4.0024333	40603
Serpini1	3.988801	85948
Wnk1	3.9882176	1301
Fermt3	3.9856884	20511
Insl5	3.940586	8970
Fam105a	3.9303126	26436
Hist3h2a	3.873217	1989
E130012A19Rik	3.8696122	2323
Tyms	3.8347375	15415
Plod1	3.815333	27014
Ttn	3.789849	278567
Mpp5	3.7693892	91764
2610020C07Rik	3.7214215	22413
Cenpa	3.710735	8050
Hspa2	3.7097414	2758
Ermp1	3.7089229	40201
Frk	3.7076385	127826
A230046K03Rik	3.702731	52528
Mreg	3.6930387	53074
Sesn3	3.6899576	49837
Smyd1	3.6719828	108293
Slc3a1	3.651804	35896
Mdm1	3.6417925	27210
Xylb	3.623674	35939
Gm15513	3.5586517	1992
Prc1	3.538089	21809
Hist1h2bc	3.5365164	8289
Pdzd2	3.5330818	382870
Fzd7	3.5129774	4800
Cnksr3	3.5113952	93174
Gadd45g	3.5038414	1790
Amy2a1	3.4982219	3025
Hist1h1c	3.4775827	1559
Rab3ip	3.4661324	44599
Ehd4	3.45271	65431
Sfrp1	3.4441466	38130
Man1c1	3.4364452	142600
Crtam	3.434881	31788
Rhbdl3	3.4264643	55043
Tsx	3.4166403	10113
Hist3h2a	3.4109952	1989
Npas4	3.4050882	5616
Rest	3.3912845	20941
Slc2a1	3.3561494	28619
Kctd8	3.3325574	232424
Il17rd	3.331088	68285
Caprin2	3.3286142	53745
Gemin5	3.3270948	48537
Nefl	3.3268702	5232
Zfp703	3.296666	4125
Hspa1b	3.292573	2802
Ypel2	3.291006	57282
Zfpm1	3.2872117	55110
Strada	3.2787476	38838
Napepld	3.2716808	38495
Pth2r	3.2702835	107188
Stk38l	3.2454426	53817
Itpr1	3.2242422	337991
Slc25a30	3.22308	25038
Gpsm2	3.218047	43549
Shf	3.20427	20270
Fkbp5	3.1851282	118429
Tesk2	3.1818864	85008
Zfp800	3.1799784	158074
Map3k2	3.1793418	73662
Fgd6	3.1738224	109338
Ier5	3.1664612	3269
C630043F03Rik	3.1645143	14004
H2afv	3.162663	17217
E2f5	3.1565187	27637
Cited1	3.1526513	4800
Slc25a37	3.1418934	43252
Prkca	3.1389592	410541
Vcl	3.1375873	104240
Junb	3.1372495	1806
Fam117a	3.1369028	44854
Spink10	3.1314077	112455
C920021L13Rik	3.1267734	17571
Ung	3.1192138	8937
2610035D17Rik	3.1016183	157943
Atp11c	3.089204	369406
Lonrf3	3.088095	33988
Creg1	3.0635273	11562
Flnb	3.055991	133631
Ahdc1	3.0487416	66850
Fzd1	3.0418017	4374
Hist1h2bc	3.0393503	8289
Psmb9	3.0384228	5765
Pcdh10	3.0364258	56168
Eaf2	3.0336864	82119
Nfat5	3.0309258	86047
Cxxc5	3.0237856	31869
Tesc	3.0148385	34135
Sap30	3.0132122	5153
Acbd7	3.0129037	4825
5930422O12Rik	3.0103223	839
Phtf2	3.0074277	123461
Dek	3.0072937	21445
Pou4f1	2.9915688	5671
D16Ertd472e	2.9838994	32645
Rock1	2.9799707	117391
Cpsf6	2.9753509	35342
Rnf20	2.968777	24881
Galnt10	2.958462	142072
Sfmbt2	2.953604	224743
Fam102a	2.9515712	34424
Rgl1	2.9502099	249592
Nfatc2ip	2.950064	13883
Cd164	2.941512	11542
Tead1	2.9393291	3847
Dnajc12	2.9370334	26397
Prpf39	2.9298997	27053
C230081A13Rik	2.9262757	216919
Scai	2.91498	124520
Ddhd2	2.9095345	29272
H2-D1	2.9007635	4769
Il22	2.8964775	5100
Pik3c2a	2.8921351	106182
Polr2a	2.8836365	24640
Kcnc3	2.8836262	14090
Man1a	2.879691	171008
H2afx	2.8795376	1356
4930579G24Rik	2.868246	3738
Tfdp2	2.8662548	127371
Znrf2	2.8622456	76584
Papola	2.8575819	58642
Gsx1	2.856689	2251
Pxn	2.853266	49311
Baz1a	2.8454418	121359
H1f0	2.819099	537
Taf4b	2.815812	117114
Per3	2.8157732	41013
Zmym5	2.8118181	21128
Fem1b	2.811484	19816
Noa1	2.8075168	15910
Tsc22d2	2.8067284	51272
H2-K1	2.8050873	4316
Frat2	2.8020768	2154
Dynll2	2.801682	8008
Irf8	2.8014684	20336
Peg3	2.7995963	26529
Soat1	2.7986958	46220
Crispld2	2.7969987	60355
Arhgef6	2.7962341	107244
H2-K1	2.7929559	4316
Gss	2.7836301	29629
Eif4ebp2	2.777497	20172
Tmem86b	2.7772102	2440
H2-D1	2.7611673	4769
Cabp7	2.7551293	9886
Nktr	2.7445016	37672
Hist1h4a	2.742383	538
Npr3	2.7334173	65778
Rwdd2a	2.7333307	2843
Brd2	2.7245195	10297
Btg1	2.7118132	5812
Tspan33	2.7034278	24337
Phf20l1	2.6994686	64374
Ccdc127	2.6836839	15474
Mgea5	2.683202	33485
Rogdi	2.6824238	4797
Orai1	2.6791282	15376
Syne2	2.676274	292792
Cdt1	2.6744862	5113
P4ha1	2.6739438	50008
Cpd	2.6709106	68594
